,haiku,colors,lines,syllables,total_syllables
0,sun bleached billboard / the gravel road ends / at peaches,[],3,"(5, 5, 3)",13
1,flute notes / fluttering / petals,[],3,"(4, 3, 2)",9
2,the rill's trick / a greenfinch moves / its green around,['green'],3,"(3, 5, 4)",12
3,the first stroke / of the ink brush / ravens in snow,['snow'],3,"(4, 4, 4)",12
4,evening prayer / the sediment / begins to settle,[],3,"(4, 4, 5)",13
5,a turnstile / going around by itself / winter rain,[],3,"(4, 6, 3)",13
6,winter solitude / lost in the hum / of my computer,[],3,"(6, 4, 5)",15
7,light / for their world / fireflies,[],3,"(1, 3, 3)",7
8,gathering dusk / all the colored pencils / back in their cup,['dusk'],3,"(4, 7, 4)",15
9,the dogs / shake it loose / summer sea,['sea'],3,"(2, 5, 3)",10
10,watermelon flesh / deep in summer,['watermelon'],2,"(5, 4)",9
11,trial separation / another inch of snow / on the gin bottles,['snow'],3,"(5, 6, 5)",16
12,summer holiday / walking the dogs / where they want to go,[],3,"(5, 4, 6)",15
13,window to window / and back / the cat,[],3,"(5, 2, 2)",9
14,spindrift / i go where / the story takes me,[],3,"(2, 4, 6)",12
15,drifting snowflakes / the police cars ascent / up our driveway,[],3,"(5, 7, 5)",17
16,evening breeze / through the barnboards / final bid,[],3,"(5, 4, 3)",12
17,our easy silence / every puddle / sky deep,['sky'],3,"(6, 5, 2)",13
18,wedding invitations / the press and release / of the nib,[],3,"(6, 6, 3)",15
19,paddling through stars / the wake of a boat / long passed,[],3,"(4, 5, 3)",12
20,pride parade / from behind a cloud / the sun comes out,[],3,"(5, 5, 5)",15
21,stone cairns / a faded cap drifts / downriver,['stone'],3,"(3, 5, 3)",11
22,jasmine beyond / the honeycombed lattice / a call to prayer,['jasmine'],3,"(4, 8, 4)",16
23,sand dunes / by morning / a different dream,['sand'],3,"(3, 3, 5)",11
24,early morning / mist reunites / the hills,[],3,"(4, 4, 2)",10
25,the underside of leaves / her back story / changes everything,[],3,"(8, 4, 6)",18
26,snow crocus / my grandson asks / if i have dreams,['snow'],3,"(3, 4, 4)",11
27,county fair / second place ribbon / in an empty stall,[],3,"(3, 6, 5)",14
28,junk car / the hum of bees / beneath the hood,[],3,"(2, 4, 4)",10
29,the christmas / after we told them / artificial tree,[],3,"(3, 5, 5)",13
30,a bit of rust / on the chevy's fender / harvest moon,['rust'],3,"(4, 6, 3)",13
31,a lightning strike / gives up a flower,[],2,"(5, 6)",11
32,forest clearing / a scapula / left for the moon,['forest'],3,"(4, 4, 4)",12
33,that time of year / moonlight fills / his empty chair,[],3,"(4, 3, 4)",11
34,birding / the unfamiliar path / home,[],3,"(2, 6, 1)",9
35,winter solstice / the tilt / of her hospital bed,[],3,"(5, 2, 6)",13
36,first morning / firecracker papers / wander the streets,[],3,"(3, 6, 4)",13
37,flies wait it out / under a cows chin / spring shower,[],3,"(4, 5, 3)",12
38,heartwood / the saw changes / its tune,[],3,"(2, 4, 2)",8
