neural_mycelic_emulator\dataset\Cordyceps_militari\Cordyceps_militari.txt

Differential 1 - 2 Ave. (mV)	Differential 3 - 4 Ave. (mV)	Differential 5 - 6 Ave. (mV)	Differential 7 - 8 Ave. (mV)	Differential 9 - 10 Ave. (mV)	Differential 11 - 12 Ave. (mV)	Differential 13 - 14 Ave. (mV)			
-0.448	-1.7620001	1.349	3.886	0.241	-0.88100004	0.502	0.0	0	0.0
-0.45	-1.727	1.455	3.8379998	0.228	-0.88100004	0.461	0.0	0	0.0
-0.40399998	-1.62	1.709	3.7789998	0.233	-0.89199996	0.34	0.062630616	0	0.0
-0.305	-1.528	1.923	3.797	0.272	-0.90099996	0.245	0.10773033	0	0.0
-0.19399999	-1.502	1.906	3.8739998	0.31800002	-0.911	0.237	0.1267732	0	0.0
-0.162	-1.559	1.667	3.9459999	0.345	-0.907	0.313	0.12348285	0	0.0
-0.236	-1.676	1.4120001	3.9420002	0.343	-0.888	0.377	0.10961496	0	0.0
-0.296	-1.752	1.281	3.888	0.322	-0.864	0.417	0.09685975	0	0.0


neural_mycelic_emulator\dataset\Enoki_fungi_Flammulina_velutipes.txt

Differential 1 - 2 Ave. (mV)	Differential 3 - 4 Ave. (mV)	Differential 5 - 6 Ave. (mV)	Differential 7 - 8 Ave. (mV)	Differential 9 - 10 Ave. (mV)	Differential 11 - 12 Ave. (mV)	Differential 13 - 14 Ave. (mV)
1.262	0.26299998	2.2710001	7.618	0.14400001	0.368	-0.086
-0.163	-1.173	-0.124	7.624	-0.035	0.37399998	-0.047000002
-0.16	0.44599998	2.204	7.605	-0.069	0.35700002	0.01
1.16	-1.176	-0.131	6.295	-1.388	3.1669998	0.06
-0.157	0.409	2.202	7.4979997	0.31599998	0.33400002	0.114
-0.154	0.347	2.226	7.4049997	0.711	0.332	-1.423
-0.157	0.228	2.281	7.28	1.284	0.325	0.199
-0.169	0.098	2.343	7.177	1.8690001	0.322	0.227
0.994	-1.461	-0.064	6.225	-0.49	3.017	-1.263




neural_mycelic_emulator\dataset\Ghost_Fungi_Omphalotus_nidiformis\Ghost_Fungi_Omphalotus_nidiformis.txt

Differential 1 - 2 Ave. (mV)	Differential 3 - 4 Ave. (mV)	Differential 5 - 6 Ave. (mV)	Differential 7 - 8 Ave. (mV)	Differential 9 - 10 Ave. (mV)	Differential 11 - 12 Ave. (mV)	Differential 13 - 14 Ave. (mV)
0.019	-0.117000006	-0.437	0.17	-0.16	-1.194	0.287
0.011	-0.113000005	-0.435	0.186	-1.064	-1.184	0.281
0.019	-0.103	-0.419	0.184	-0.811	-1.166	0.274
0.03	-0.104	-0.412	0.163	0.46800002	-1.163	0.277
0.026	-0.117000006	-0.428	0.154	0.424	-1.173	0.283
0.012	-0.121	-0.442	0.172	-0.657	-1.175	0.284
0.01	-0.11	-0.434	0.186	-1.167	-1.16	0.277
0.022	-0.102	-0.42200002	0.177	-0.28599998	-1.151	0.274
0.029000001	-0.107	-0.426	0.163	0.498	-1.162	0.282
0.018000001	-0.115	-0.439	0.172	-0.123	-1.173	0.28899997


neural_mycelic_emulator\dataset\Schizophyllum_commune\Schizophyllum_commune.txt

Differential 1 - 2 Ave. (mV)	Differential 3 - 4 Ave. (mV)	Differential 5 - 6 Ave. (mV)	Differential 7 - 8 Ave. (mV)	Differential 9 - 10 Ave. (mV)	Differential 11 - 12 Ave. (mV)	Differential 13 - 14 Ave. (mV)
0.885	1.806	1.68	3.8360002	-4.855	5.085	NaN
0.872	1.783	1.6589999	3.851	-4.881	5.0499997	NaN
0.838	1.764	1.638	3.8769999	-4.927	4.995	NaN
0.80600005	1.735	1.6110001	3.898	-4.945	4.8980002	NaN
0.78300005	1.704	1.576	3.92	-4.939	4.805	NaN
0.75	1.68	1.5320001	3.937	-4.908	4.7980003	NaN
0.74	1.668	1.502	3.9610002	-4.913	4.832	NaN
0.733	1.672	1.477	3.9889998	-4.956	4.8989997	NaN
0.723	1.666	1.446	4.0059996	-4.989	4.8989997	NaN
0.697	1.658	1.423	4.033	-5.034	4.8580003	NaN
0.662	1.675	1.408	4.074	-5.093	4.811	NaN
0.629	1.697	1.387	4.119	-5.1549997	4.821	NaN
0.605	1.742	1.354	4.171	-5.217	4.9049997	NaN
0.60899997	1.763	1.313	4.204	-5.268	5.012	NaN
0.621	1.764	1.274	4.217	-5.2999997	5.052	NaN
0.62200004	1.761	1.238	4.2269998	-5.3209996	5.027	NaN
0.606	1.7650001	1.213	4.248	-5.348	4.9700003	NaN
0.583	1.761	1.185	4.264	-5.337	4.876	NaN

